A-bomb,Атомная бОмба,ˈeɪbɔm
aard-wolf,землянОй волк,ˈɑ:dwulf
abaca,абАка,ˈæbəkə
abaction,крУпная крАжа,æbˈækʃən
abaction,угОн скотА,æbˈækʃən
abandon,развЯзность,əˈbændən
abandonee,страхОвщик,əˌbændəˈni:
abandonment,оставлЕние,əˈbændənmənt
abandonment,забрОшенность,əˈbændənmənt
abase,унижАть,əˈbeɪs
abasement,унижЕние,əˈbeɪsmənt
abashment,смущЕние,əˈbæʃmənt
abate,ослаблЯть,əˈbeɪt
abate,дЕлать скИдку,əˈbeɪt
abate,притуплЯть,əˈbeɪt
abatement,уменьшЕние,əˈbeɪtmənt
abatement,скИдка,əˈbeɪtmənt
abattoir,скотобОйня,ˈæbətwɑ:
abb,утОк,æb
abbacy,аббАтство,ˈæbəsɪ
abbess,аббатИса,ˈæbɪs
abbey,аббАтство,ˈæbɪ
abbot,аббАт,ˈæbət
abbreviate,сокращАть,əˈbri:vɪeɪt
abbreviation,аббревиатУра,əˌbri:vɪˈeɪʃən
ABC,алфавИт,ˈeɪbi:ˈsi:
ABC,оснОвы,ˈeɪbi:ˈsi:
ABC,железнодорОжный алфавИтный указАтель,ˈeɪbi:ˈsi:
ABC-book,буквАрь,ˈeɪbi:ˈsi:buk
abdicate,отрекАться,ˈæbdɪkeɪt
abdication,отречЕние,ˌæbdɪˈkeɪʃən
abdominal,абдоминАльный,æbˈdɔmɪnl
abdominal,брюхопЁрый,æbˈdɔmɪnl
abdominous,тОлстый,æbˈdɔmɪnəs
abduct,похищАть,æbˈdʌkt
Abel,Авель,ˈeɪbəl
aberdevine,чечЁтка,ˌæbədəˈvaɪn
aberrance,отклонЕние от прАвильного путИ,æˈberəns
aberrancy,отклонЕние от прАвильного путИ,æˈberənsɪ
aberrant,заблуждАющийся,æˈberənt
aberration,заблуждЕние,ˌæbəˈreɪʃən
aberration,помрачЕние умА,ˌæbəˈreɪʃən
aberration,аберрАция,ˌæbəˈreɪʃən
abet,подстрекАть,əˈbet
abetment,подстрекАтельство,əˈbetmənt
abettor,подстрекАтель,əˈbetə
abettor,соучАстник,əˈbetə
abeyance,состоЯние неопределЁнности,əˈbeɪəns
abeyance,врЕменное бездЕйствие,əˈbeɪəns
abeyance,в состоЯнии неизвЕстности,əˈbeɪəns
abeyance,без владЕльца,əˈbeɪəns
